"ACTIVE OFFENDER POPULATION","",""
"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","18,696","29.53%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1,648","2.60%"
"Other Custody","527",".83%"
"At Large (Escapees & Walk-Aways)","26",".04%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","20,908","33.02%"
"PAROLEES","8,335","13.16%"
"TVC Parole","206","0.33%"
"PROBATIONERS","33,698","53.22%"
"TVC Probation","171","0.27%"
"PAROLEE AND PROBATIONER TOTAL","42,410","66.98%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","63,318","100.00%"
