"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","3,913","62.52%","","385","36.56%","4,298","58.78%"
"White","2,301","36.76%","","657","62.39%","2,958","40.45%"
"Hispanic","24",".38%","","8",".76%","32",".44%"
"Native American","7",".11%","","1",".09%","8",".11%"
"Asian","10",".16%","","1",".09%","11",".15%"
"Data Unavailable","4",".06%","","1",".09%","5",".07%"
"TOTAL","6,259","100.00%","","1,053","100.00%","7,312","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,523","48.18%",""
"","","","Property","","2,987","40.85%",""
"","","","Aggravated Assault","","84","1.15%",""
"","","","Violent","","620","8.48%",""
"","","","Sex","","98","1.34%",""
"","","","TOTAL","","7,312","100.00%",""
