"TOTAL
19,135","","100.00%","","","","1,687","","","100.00%","","","","20,822","","","","100.00%",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,184","","0","1,134","0","26","","0","2","","0","7","","0","1","0","","3,354"
"CMCF","1,498","","356","898","542","19","","6","7","","2","7","","1","1","1","","3,338"
"SMCI","2,043","","0","991","0","27","","0","2","","0","4","","0","0","0","","3,067"
"County Jails (approved)","408","","5","342","26","5","","0","0","","0","2","","0","1","0","","789"
"County Jails (unapproved)","170","","7","127","12","3","","0","0","","0","0","","0","3","0","","322"
"Youthful Offender Facility","21","","0","3","0","1","","0","0","","0","0","","0","0","0","","25"
"Private Prisons","2,202","","0","809","0","21","","0","7","","0","1","","0","0","0","","3,040"
"Regional Correctional Facilities","2,354","","94","1,179","106","49","","2","6","","0","11","","0","0","0","","3,801"
"Community Work Centers","376","","38","249","120","4","","4","2","","0","3","","1","0","0","","797"
"Community Trusties","23","","0","9","0","0","","0","0","","0","1","","0","0","0","","33"
"TVC","0","","3","0","12","0","","0","0","","0","0","","0","0","0","","15"
"Transitional Housing","1","","0","0","0","0","","0","0","","0","0","","0","0","0","","1"
"Pending File Review","45","","3","30","3","1","","0","0","","0","1","","0","0","0","","83"
"Court Order","154","","8","88","11","0","","0","0","","0","0","","0","0","0","","261"
"","11,479","","514","5,859","832","156","","12","26","","2","37","","2","6","1","","18,926"
"Intensive Supervison Program","279","","79","233","118","3","","1","2","","1","2","","1","1","1","","721"
"Earned Release Supervision","357","","40","120","35","3","","0","0","","0","0","","0","0","0","","555"
"Medical Release","6","","0","3","2","0","","0","0","","0","0","","0","0","0","","11"
"Other Custody","220","","13","214","22","31","","2","0","","0","4","","0","1","0","","507"
"At Large","16","","0","6","2","3","","0","0","","0","0","","0","0","0","","27"
"Conditional Release","0","","0","1","1","0","","0","0","","0","0","","0","0","0","","2"
"Failure to Report-Monitoring","1","","0","3","0","0","","0","0","","0","0","","0","0","0","","4"
"RRP","29","","2","26","4","0","","0","0","","0","0","","0","0","0","","61"
"Off-Grounds Medical (Hospital)","4","","0","5","1","0","","0","0","","0","0","","0","0","0","","10"
"TOTAL","12,391","","648","6,470","1,017","196","","15","28","","3","43","","3","8","2","","20,824"
"% OF TOTAL OFFENDERS","59.50%","","3.11%","31.07%","4.88%",".94%","",".07%",".13%","",".01%",".21%","",".01%",".04%",".01%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","572","577","","","179","","","1,486","","","540","","","","3,354",""
"CMCF","","","771","911","","","162","","","1,151","","","343","","","","3,338",""
"SMCI","","","495","565","","","193","","","1,259","","","555","","","","3,067",""
"County Jails (approved)","","","385","260","","","12","","","120","","","12","","","","789",""
"Youthful Offender Facility","","","0","2","","","2","","","17","","","4","","","","25",""
"County Jails (unapproved)","","","92","134","","","15","","","62","","","19","","","","322",""
"Private Prisons","","","263","349","","","207","","","1,656","","","565","","","","3,040",""
"Regional Correctional Facilities","","","583","698","","","305","","","1,427","","","788","","","","3,801",""
"Community Work Centers","","","456","250","","","0","","","91","","","0","","","","797",""
"Community Trusties","","","19","11","","","0","","","3","","","0","","","","33",""
"Pending File Review","","","30","41","","","3","","","9","","","0","","","","83",""
"Court Order","","","72","95","","","9","","","73","","","12","","","","261",""
"Transitional Housing","","","","0","","","0","","","0","","","0","","","","1",""
"TVC","","","","7","","","0","","","3","","","0","","","","15",""
"TOTAL CUSTODY POPULATION","","","3,744","3,900","","","1,087","","","7,357","","","2,838","","","","18,926",""
"% OF TOTAL OFFENSES","","","19.78%","20.61%","","","5.74%","","","38.87%","","","15.00%","","","","100.00%",""
"Intensive Supervison Program","","","286","353","","","12","","","64","","","6","","","","721",""
"Earned Release Supervision","","","106","34","","","114","","","295","","","6","","","","555",""
"Medical Release","","","5","4","","","0","","","2","","","0","","","","11",""
"Other Custody","","","167","213","","","13","","","89","","","25","","","","507",""
"At Large","","","","14","","","0","","","6","","","0","","","","27",""
"Conditional Release","","","7 0 1","0","","","0","","","2","","","0","","","","2",""
"RRP","","","","35","","","0","","","11","","","0","","","","61",""
"FTR- Monitoring","","","5 4 1","0","","","0","","","0","","","0","","","","4",""
"Off-Grounds Medical (Hospital)","","","","3","","","1","","","3","","","2","","","","10",""
"TOTAL","","","4,335","4,556","","","1,227","","","7,829","","","2,877","","","","20,824",""
"% OF TOTAL OFFENSES","","","20.82%","21.88%","","","5.89%","","","37.60%","","","13.82%","","","","100.00%","1 5"
