"Off-Grounds Medical (Hospital)","","","0","","","","","","12","","","","","","","0.06%"
"At Large (Escapees & Walk-Aways)","","","0","","","","","","29","","","","","","","0.14%"
"TOTAL","","","23,881","","","","","","20,873","","","","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,342","64.41%","","","","622","","","36.35%","","","","12,964","","","","62.11%"
"White
6,552","34.19%","","","","1,066","","","62.30%","","","","7,618","","","","36.50%"
"Hispanic
193","1.01%","","","","14","","",".82%","","","","207","","","",".99%"
"Native American
28",".15%","","","","4","","",".23%","","","","32","","","",".15%"
"Asian
39",".20%","","","","4","","",".23%","","","","43","","","",".21%"
"Data Unavailable
8",".04%","","","","1","","",".06%","","","","9","","","",".04%"
"TOTAL
19,162","100.00%","","","","1,711","","","100.00%","","","","20,873","","","","100.00%"
"","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","Female","Male","Female","","Male","Female","Male","","Female","Male","","Female","Male","Female",""
"MSP","2,249","0","1,006","1","","25","0","2","","0","6","","0","0","0","3,289"
"CMCF","1,526","345","1,028","534","","29","4","4","","2","6","","3","2","1","3,484"
"SMCI","1,706","0","900","0","","28","0","0","","0","3","","0","0","0","2,637"
"County Jails (approved)","302","3","292","26","","4","0","0","","0","1","","0","1","0","629"
"County Jails (unapproved)","185","11","123","13","","1","0","2","","0","1","","0","2","0","338"
"Youthful Offender Facility","22","0","3","0","","1","0","0","","0","0","","0","0","0","26"
"Private Prisons","2,282","0","860","0","","18","0","7","","0","1","","0","0","0","3,168"
"Regional Correctional Facilities","2,576","100","1,390","130","","52","4","9","","1","12","","0","1","0","4,275"
"Community Work Centers","302","32","215","111","","2","3","2","","0","1","","1","0","0","669"
"Community Trusties","22","0","13","0","","0","0","0","","0","1","","0","0","0","36"
"TVC","1","2","0","15","","0","0","0","","0","0","","0","0","0","18"
"Transitional Housing","15","1","16","4","","0","0","0","","0","0","","0","0","0","36"
"Pending File Review","49","2","44","7","","0","0","0","","0","1","","0","0","0","103"
"RRP","38","7","40","14","","1","0","0","","0","1","","0","0","0","101"
"Court Order","116","3","91","21","","1","0","0","","0","1","","0","0","0","233"
"","11,391","506","6,021","876","","162","11","26","","3","35","","4","6","1","19,042"
"Intensive Supervison Program","296","74","200","133","","3","2","1","","1","1","","0","1","0","712"
"Earned Release Supervision","413","34","126","32","","0","1","0","","0","1","","0","0","0","607"
"Medical Release","8","0","4","1","","0","0","0","","0","0","","0","0","0","13"
"Other Custody","208","7","186","20","","25","0","1","","0","2","","0","1","0","450"
"At Large","17","0","7","2","","3","0","0","","0","0","","0","0","0","29"
"Conditional Release","1","0","1","1","","0","0","0","","0","0","","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","","0","0","0","","0","0","","0","0","0","5"
"Off-Grounds Medical (Hospital)","6","1","4","1","","0","0","0","","0","0","","0","0","0","12"
"TOTAL","12,342","622","6,552","1,066","","193","14","28","","4","39","","4","8","1","20,873"
"% OF TOTAL OFFENDERS","59.13%","2.98%","31.39%","5.11%","",".92%",".07%",".13%","",".02%",".19%","",".02%",".04%",".00%","100.00%"
