"As of May 1, 2019","",""
"ACTIVE OFFENDER POPULATION","",""
"BY TYPE","",""
"","NO. OF","% OF TOTAL"
"","OFFENDERS","OFFENDERS"
"INMATES","",""
"Custody Population (Inmate and RRP status)","19,356","35.60%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,422","2.62%"
"Other Custody","502",".92%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","21,314","39.20%"
"PAROLEES","8,834","16.25%"
"TVC Parole","258","0.47%"
"PROBATIONERS","23,824","43.81%"
"TVC Probation","147","0.27%"
"PAROLEE AND PROBATIONER TOTAL","33,063","60.80%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","54,377","100.00%"
