"TOTAL","19,189","","100.00%","1,606","","100.00%","","20,792","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","Asian","","Data Unavailable TOTAL",""
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","1,443","0","730","0","16","0","0","0","5","0","0","0","2,194"
"CMCF","1,507","380","1,071","552","29","5","8","3","14","0","0","0","3,569"
"SMCI","1,683","0","946","0","23","0","2","0","9","0","0","0","2,663"
"County Jails (approved)","343","2","357","7","8","0","1","0","2","0","0","0","720"
"County Jails (unapproved)","154","16","132","22","2","0","0","0","1","0","3","0","330"
"Youthful Offender Facility","20","1","3","0","0","0","0","0","0","0","0","0","24"
"Private Prisons","2,875","0","1,000","0","23","0","7","0","3","0","1","0","3,909"
"Regional Correctional Facilities","2,680","56","1,439","83","58","2","8","0","12","0","1","0","4,339"
"Community Work Centers","232","24","157","115","5","0","0","1","1","0","0","0","535"
"Community Trusties","5","0","0","0","0","0","0","0","0","0","0","0","5"
"TVC","48","0","16","0","0","0","0","0","0","0","0","0","64"
"Transitional Housing","3","0","4","1","1","0","0","0","0","0","0","0","9"
"Pending File Review","49","3","50","10","1","0","0","0","1","0","0","0","114"
"RRP","15","2","37","19","0","0","0","0","0","0","0","0","73"
"Court Order","130","3","107","6","1","0","0","0","1","0","0","0","248"
"","11,187","487","6,049","815","167","7","26","4","49","0","5","0","18,796"
"Intensive Supervison Program","374","74","319","138","2","0","0","0","0","2","2","0","911"
"Earned Release Supervision","384","23","102","24","2","1","0","1","1","0","0","0","538"
"Medical Release","7","0","11","0","0","0","0","0","0","0","0","0","18"
"Other Custody","243","5","183","18","27","0","0","0","2","0","1","0","479"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","12","0","4","1","0","0","0","0","0","0","0","0","17"
"TOTAL","12,224","589","6,677","1,000","201","8","26","5","52","0","8","0","20,792"
"% OF TOTAL OFFENDERS","58.79%","2.83%","32.11%","4.81%",".97%",".04%",".13%",".02%",".25%",".00%",".04%",".00%","100.00%"
