"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,966","56.83%","2,306","38.78%","13,272","52.58%"
"White","7,999","41.46%","3,550","59.70%","11,549","45.75%"
"Hispanic","156","0.81%","40",".67%","196",".78%"
"Native American","21",".11%","9",".15%","30",".12%"
"Asian","61",".32%","12",".20%","73",".29%"
"Data Unavailable","92",".48%","29",".49%","121",".48%"
"TOTAL","19,295","100.00%","5,946","100.00%","25,241","100.00%"
