"At Large (Escapees & Walk-Aways)","","","0","24","0.12%","","",""
"TOTAL","","","24,400","19,465","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","11,565","64.21%","565","38.91%","12,131","","62.32%",""
"White","6,178","34.30%","875","60.26%","7,053","","36.24%",""
"Hispanic","191","1.06%","7",".48%","198","","1.02%",""
"Native American","29",".16%","3",".21%","32","",".16%",""
"Asian","41",".23%","0",".00%","41","",".21%",""
"Data Unavailable","8",".04%","2",".14%","10","",".05%",""
"TOTAL","18,012","100.00%","1,452","100.00%","19,465","","100.00%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
