"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","17,904","58.36%"
"Probation - Compact","1,235","4.03%"
"Probation - Nonadjudicated","1,699","5.54%"
"Probation - Post Release","3,808","12.41%"
"PROBATION TOTAL","24,646","80.34%"
"Parole","1,986","6.47%"
"Parole - Compact","507","1.65%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,493","8.13%"
"Intensive Supervision Program - Court","1,311","4.27%"
"Intensive Supervision Program - Prison","362","1.18%"
"Earned Release Supervision","1,857","6.05%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3,538","11.53%"
"TOTAL","30,677","100.00%"
