"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,455","3,088","14.61%"
"Central Mississippi Correctional Facility","2,923","2,266","10.72%"
"South Mississippi Correctional Institution","2,682","2,481","11.74%"
"Youthful Offender Facility","58","20","0.09%"
"County Jails - Approved*","2,006","856","4.05%"
"County Jails - Unapproved**","0","326","1.54%"
"Community Work Centers","1,870","1,076","5.09%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","12,994","10,113","47.85%"
"Alcorn County Correctional Facility","300","299","1.41%"
"Bolivar County Correctional Facility","369","346","1.64%"
"Carroll County Correctional Facility","280","273","1.29%"
"Chickasaw County Correctional Facility","300","299","1.41%"
"George County Correctional Facility","280","261","1.23%"
"Holmes County Correctional Facility","280","258","1.22%"
"Issaquena County Correctional Facility","274","254","1.20%"
"Jefferson County Correctional Facility","280","265","1.25%"
"Kemper County Correctional Facility","355","334","1.58%"
"Leake County Correctional Facility","280","259","1.23%"
"Marion County Correctional Facility","280","264","1.25%"
"Stone County Correctional Facility","280","270","1.28%"
"Washington County Correctional Facility","300","231","1.09%"
"Winston County Correctional Facility","280","256","1.21%"
"Yazoo County Correctional Facility","300","270","1.28%"
"TOTAL REGIONAL FACILITIES","4,438","4,139","19.58%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,130","5.35%"
"Marshall County Correctional Facility","1,000","999","4.73%"
"Walnut Grove Correctional Facility","1,500","950","4.50%"
"Wilkinson County Correctional Facility","1,000","889","4.21%"
"TOTAL PRIVATE PRISONS","5,972","3,968","18.78%"
"Community Trusties","0","16",".08%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","68",".32%"
"Court Order","0","220","1.04%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,404","18,524","87.65%"
"Intensive Supervision Program","0","1,145","5.42%"
"Earned Release Supervision Program","0","883","4.18%"
"Medical Release","0","17","0.08%"
"TOTAL COMMUNITY CORRECTIONS","","2,045","9.68%"
"Other Custody","0","529","2.50%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","","27","0.13%"
"TOTAL","23,404","21,134","100.00%"
