"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,250","15.25%"
"Central Mississippi Correctional Facility","3,750","3,689","17.31%"
"South Mississippi Correctional Institution","3,082","2,642","12.40%"
"Youthful Offender Facility","58","28","0.13%"
"County Jails - Approved","1,781","723","3.39%"
"County Jails - Unapproved","0","408","1.91%"
"Community Work Centers","1,154","622","2.92%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,362","53.31%"
"Alcorn County Correctional Facility","300","297","1.39%"
"Bolivar County Correctional Facility","369","289","1.36%"
"Carroll County Correctional Facility","280","277","1.30%"
"Chickasaw County Correctional Facility","310","307","1.44%"
"George County Correctional Facility","280","331","1.55%"
"Holmes County Correctional Facility","280","276","1.29%"
"Issaquena County Correctional Facility","274","296","1.39%"
"Jefferson County Correctional Facility","280","275","1.29%"
"Kemper County Correctional Facility","355","352","1.65%"
"Leake County Correctional Facility","280","275","1.29%"
"Marion County Correctional Facility","280","276","1.29%"
"Stone County Correctional Facility","326","280","1.31%"
"Washington County Correctional Facility","300","151","0.71%"
"Winston County Correctional Facility","280","277","1.30%"
"Yazoo County Correctional Facility","300","295","1.38%"
"TOTAL REGIONAL FACILITIES","4,494","4,254","19.96%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,280","6.01%"
"Marshall County Correctional Facility","1,000","996","4.67%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","929","4.36%"
"TOTAL PRIVATE PRISONS","5,972","3,205","15.04%"
