"","","","% OF","","% OF","","% OF","",""
"","","","TOTAL MALE","","TOTAL FEMALE","NO. OF","TOTAL","",""
"RACE","MALE","","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS","",""
"Black","","15,334","69.17%","1,204","52.23%","16,538","67.58%","",""
"White","","6,615","29.84%","1,076","46.68%","7,691","31.43%","",""
"Hispanic","","143","0.65%","49","0.39%","152","0.62%","",""
"Native American","","21","0.09%","","0.17%","25","0.10%","",""
"Asian","","32","0.14%","7 5","0.30%","39","0.16%","",""
"Data Unavailable","","22","0.10%","","0.22%","27","0.11%","",""
"TOTAL","","22,167","100.00%","2,305","100.00%","24,472","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","","","",""
"","","","Black","White","Hispanic","Native American","Asian","Data Unavailable","TOTAL"
"LOCATION","","","Male
Female","Male
Female","Male
Female","Male
Female","Male
Female","Male
Female",""
"MSP","","","3,243
0","1,202
0","40
0","5
0","4
0","1
0","4,495"
