"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,107","","67.27%","","","","910","","","41.55%","","","","16,017","","","","64.99%"
"White
7,055","","31.42%","","","","1,259","","","57.49%","","","","8,314","","","","33.73%"
"Hispanic
216","",".96%","","","","14","","",".64%","","","","230","","","",".93%"
"Native American
31","",".14%","","","","","","",".23%","","","","36","","","",".15%"
"Asian
38","",".17%","","","","5 2","","",".09%","","","","40","","","",".16%"
"Data Unavailable
9","",".04%","","","","0","","",".00%","","","","9","","","",".04%"
"TOTAL
22,456","","100.00%","","","","2,190","","","100.00%","","","","24,646","","","","100.00%"
