"","","Fact Sheet","","",""
"","","As of October 10,2017","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","41","",".20%"
"Emergency Suspension","0","","0","",".00%"
"Pending File Review","0","","102","",".49%"
"TVC","0","","22","",".11%"
"Transitional Housing","0","","31","","0.2%"
"Court Order","0","","223","","1.07%"
"RRP","0","","103","",".49%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","19,012","","91.13%"
"Intensive Supervision Program","0","","713","","3.42%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","625","","3.00%"
"Failure to Register-Monitoring","0","","6","","0.03%"
"Medical Release","0","","12","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,359","","6.51%"
"Other Custody","0","","455","","2.18%"
"Off-Grounds Medical (Hospital)","0","","6","","0.03%"
"At Large (Escapees & Walk-Aways)","0","","30","","0.14%"
"TOTAL","23,881","","20,862","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,287
64.18%","","612","35.62%","12,899","61.83%"
"White
6,585
34.40%","","1,082","62.98%","7,667","36.75%"
"Hispanic
192
1.00%","","15",".87%","207",".99%"
"Native American
25
.13%","","4",".23%","29",".14%"
"Asian
43
.22%","","4",".23%","47",".23%"
"Data Unavailable
12
.06%","","1",".06%","13",".06%"
"TOTAL
19,144
100.00%","","1,718","100.00%","20,862","100.00%"
