"","Mississippi Department of Corrections","",""
"","","Fact Sheet",""
"","","As of October 1, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","00","142",".67%"
"TVC","0","50",".24%"
"Transitional Housing","0","37","0.2%"
"Court Order","0","231","1.10%"
"RRP","0","95",".45%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,201","91.09%"
"Intensive Supervision Program","0","778","3.69%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","583","2.77%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,384","6.57%"
"Other Custody","","458","2.17%"
"Off-Grounds Medical (Hospital)","00","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,881","21,080","100.00%"
