"BY RACE/SEX AND LOCATION","","","","","","","","","","","","",""
"","Black","","White","","Hispanic","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,387","1","1,254","0","41","0","5","0","4","0","1","0","4,693"
"CMCF","1,076","798","625","624","10","7","1","0","0","4","0","1","3,146"
"SMCI","1,444","0","687","0","24","0","1","0","7","0","0","0","2,163"
"County Jails (approved)","924","61","549","86","8","1","3","1","4","0","7","1","1,645"
"County Jails (unapproved)","133","13","120","29","2","0","0","0","2","1","3","0","303"
"Private Prisons","3,458","0","1,199","0","15","0","3","0","7","0","0","0","4,682"
"Regional Correctional Facilities","1,990","0","725","0","16","0","0","0","3","0","0","0","2,734"
"Community Work Centers","1,058","116","440","99","4","0","0","0","3","0","0","0","1,720"
"Community Trusties","8","0","9","0","0","0","1","0","0","0","0","0","18"
"Pending File Review","93","13","66","12","1","0","0","0","0","0","0","0","185"
"","13,571","1,002","5,674","850","121","8","14","1","30","5","11","2","21,289"
"Intensive Supervison Program","548","102","434","152","5","0","5","2","1","0","6","3","1,258"
"Earned Release Supervision","1,010","110","383","54","5","1","1","0","2","0","0","0","1,566"
"Medical Release","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Other Custody/At Large","158","9","135","15","10","1","0","0","0","0","0","0","328"
"Off-Grounds Medical (Hospital)","4","1","3","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15,293","1,224","6,629","1,073","141","10","20","3","33","5","17","5","24,453"
"% of Total Offenses","62.54%","5.01%","27.11%","4.39%","0.58%","0.04%","0.08%","0.01%","0.13%","0.02%","0.07%","0.02%","100.00%"
