"TOTAL
22,827","","100.00%","","2,467","","100.00%","","25,294","","","100.00%","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,236","","2","1,166","0","31","0","5","0","5","0","0","0","4,445"
"CMCF","1,279","","764","663","678","11","5","3","3","3","4","2","0","3,415"
"SMCI","1,487","","0","780","0","28","0","2","0","5","0","1","0","2,303"
"County Jails (approved)","654","","53","512","66","9","4","1","1","2","0","6","0","1,308"
"County Jails (unapproved)","79","","11","50","10","2","0","0","0","0","0","1","0","153"
"Private Prisons","3,675","","0","1,179","0","29","0","3","0","8","0","4","0","4,898"
"Regional Correctional Facilities","2,196","","0","848","0","17","0","1","0","6","0","1","0","3,069"
"Community Work Centers","1,046","","111","487","103","11","1","6","0","3","0","1","0","1,769"
"Community Trusties","14","","0","3","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","24","","3","11","9","0","0","0","0","0","0","0","0","47"
"Court Order","161","","12","125","41","0","0","1","0","0","1","0","0","341"
"","13,851","","956","5,824","907","138","10","22","4","32","5","16","0","21,765"
"Intensive Supervison Program","544","","159","516","206","11","1","2","1","2","0","7","2","1,451"
"Earned Release Supervision","1,063","","102","408","79","3","2","2","0","1","0","0","0","1,660"
"Medical Release","4","","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","125","","8","113","12","31","1","0","0","3","0","3","1","297"
"At Large","71","","4","21","4","5","0","0","0","1","0","0","0","106"
"Off-Grounds Medical (Hospital)","3","","1","1","2","0","0","0","0","0","0","0","0","7"
"TOTAL","15,661","","1,230","6,887","1,210","188","14","26","5","39","5","26","3","25,294"
"% OF TOTAL OFFENSES","61.92%","","4.86%","27.23%","4.78%","0.74%","0.06%","0.10%","0.02%","0.15%","0.02%","0.10%","0.01%","100.00%"
