"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,730","4,321","34.39%"
"Central Mississippi Correctional Facility","3,219","3,056","24.32%"
"South Mississippi Correctional Institution","2,306","2,192","17.44%"
"County Jails - Approved*","2,240","1,295","10.31%"
"County Jails - Unapproved**","0","39","0.31%"
"Community Work Centers","1,816","1,663","13.23%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,311","12,566","100.00%"
"Bolivar County Correctional Facility","294","292","9.68%"
"Carroll County Correctional Facility","250","249","8.25%"
"George County Correctional Facility","280","280","9.28%"
"Holmes County Correctional Facility","280","280","9.28%"
"Issaquena County Correctional Facility","274","273","9.05%"
"Jefferson County Correctional Facility","250","248","8.22%"
"Kemper County Correctional Facility","280","277","9.18%"
"Leake County Correctional Facility","280","280","9.28%"
"Marion County Correctional Facility","280","280","9.28%"
"Stone County Correctional Facility","280","279","9.24%"
"Winston County Correctional Facility","280","280","9.28%"
"TOTAL REGIONAL FACILITIES","3,028","3,018","100.00%"
"Delta Correctional Facility","972","971","20.10%"
"East MS Correctional Facility","1,000","856","17.72%"
"Marshall County Correctional Facility","1,000","994","20.57%"
"Tallahatchie County Correctional Facility","128","128","2.65%"
"Walnut Grove Correctional Facility","1,000","917","18.98%"
"Wilkinson County Correctional Facility","1,000","966","19.99%"
"TOTAL PRIVATE PRISONS","5,100","4,832","100.00%"
"Community Trusties","022","15","0.06%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","8","0.03%"
"Court Order","0","344","1.39%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,461","20,783","84.12%"
"Intensive Supervision Program","0","1,657","6.71%"
"Earned Release Supervision Program","00","1,832","7.42%"
"Medical Release","0","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3,497","14.15%"
"Other Custody","0","303","1.23%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","117","0.47%"
"TOTAL","22,461","24,706","100.00%"
