"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,373","16.02%"
"Central Mississippi Correctional Facility","3,750","3,584","17.03%"
"South Mississippi Correctional Institution","3,082","3,028","14.39%"
"Youthful Offender Facility","58","32","0.15%"
"County Jails - Approved","1,781","665","3.16%"
"County Jails - Unapproved","0","356","1.69%"
"Community Work Centers","1,154","697","3.31%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,735","55.75%"
"Alcorn County Correctional Facility","300","257","1.22%"
"Bolivar County Correctional Facility","369","294","1.40%"
"Carroll County Correctional Facility","280","252","1.20%"
"Chickasaw County Correctional Facility","310","284","1.35%"
"George County Correctional Facility","280","238","1.13%"
"Holmes County Correctional Facility","280","251","1.19%"
"Issaquena County Correctional Facility","274","249","1.18%"
"Jefferson County Correctional Facility","280","265","1.26%"
"Kemper County Correctional Facility","355","259","1.23%"
"Leake County Correctional Facility","280","242","1.15%"
"Marion County Correctional Facility","280","269","1.28%"
"Stone County Correctional Facility","326","248","1.18%"
"Washington County Correctional Facility","300","189","0.90%"
"Winston County Correctional Facility","280","249","1.18%"
"Yazoo County Correctional Facility","300","244","1.16%"
"TOTAL REGIONAL FACILITIES","4,494","3,790","18.01%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,291","6.13%"
"Marshall County Correctional Facility","1,000","994","4.72%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","925","4.39%"
"TOTAL PRIVATE PRISONS","5,972","3,210","15.25%"
