"","","Fact Sheet","","",""
"","","As of March 1, 2018","","",""
"INMATE STATISTICS (continued)","","","","",""
"Community Trusties","0","","43","",".21%"
"Emergency Suspension","","","0","",".00%"
"Pending File Review","","","82","",".39%"
"TVC","0","","0","",".00%"
"Transitional Housing","0","","37","","0.2%"
"Court Order","0","","227","","1.09%"
"RRP","0","","101","",".48%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","19,052","","91.26%"
"Intensive Supervision Program","0","","743","","3.56%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","565","","2.71%"
"Failure to Register-Monitoring","0","","5","","0.02%"
"Medical Release","0","","13","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,329","","6.37%"
"Other Custody","0","","450","","2.16%"
"Off-Grounds Medical (Hospital)","0","","16","","0.08%"
"At Large (Escapees & Walk-Aways)","0","","29","","0.14%"
"TOTAL","23,881","","20,876","","100.00%"
"BY RACE/SEX AND LOCATION","","","","",""
"% OF","","","% OF","","% OF"
"TOTAL MALE","","","TOTAL FEMALE","NO. OF","TOTAL"
"RACE
MALE
POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
12,302
64.16%","","607","35.64%","12,909","61.84%"
"White
6,589
34.37%","","1,071","62.89%","7,660","36.69%"
"Hispanic
206
1.07%","","13",".76%","219","1.05%"
"Native American
27
.14%","","5",".29%","32",".15%"
"Asian
41
.21%","","5",".29%","46",".22%"
"Data Unavailable
8
.04%","","2",".12%","10",".05%"
"TOTAL
19,173
100.00%","","1,703","100.00%","20,876","00
100.00%"
