"","","","","","","","As of April 1, 2008","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","% OF","","","","","","% OF","","",""
"","","TOTAL MALE","","","","","TOTAL FEMALE","","","NO. OF","","TOTAL","","","",""
"RACE
MALE","","POPULATION","","","FEMALE","","POPULATION","","","OFFENDERS","","","OFFENDERS","","",""
"Black
16,070","","68.95%","","","1,262","","49.69%","","","17,332","","","67.06%","","",""
"White
6,927","","29.72%","","","1,252","","49.29%","","","8,179","","","31.64%","","",""
"Hispanic
223","","0.96%","","","3","","0.51%","","","236","","0.91%","","","",""
"Native American
19","","0.08%","","","21","","0.08%","","","21","","0.08%","","","",""
"Asian
43","","0.18%","","","","","0.20%","","","48","","0.19%","","","",""
"Data Unavailable
25","","0.11%","","","5 6","","0.24%","","","31","","0.12%","","","",""
"TOTAL
23,307","","100.00%","","","2,540","","100.00%","","","25,847","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","","Black","","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","3,058","","2","1,124","","0","30","0","0","","0","6","0","0","0","4,220"
"CMCF","1,357","","792","745","","700","12","6","4","","0","5","2","1","0","3,624"
"SMCI","2,064","","0","1,004","","0","51","0","2","","0","9","0","0","0","3,130"
"County Jails (approved)","697","","67","467","","75","14","1","0","","0","2","0","10","0","1,333"
"County Jails (unapproved)","126","","10","71","","14","0","0","0","","0","3","0","0","0","224"
"Private Prisons","3,624","","0","1,119","","0","28","0","5","","0","6","0","4","0","4,786"
"Regional Correctional Facilities","2,180","","0","815","","0","28","0","3","","0","5","0","0","0","3,031"
"Community Work Centers","1,013","","110","483","","134","8","0","1","","2","2","0","0","0","1,753"
"Community Trusties","14","","0","4","","0","0","0","0","","0","0","0","0","0","18"
"Pending File Review","70","","2","22","","6","2","0","0","","0","0","0","0","0","102"
"Court Order","187","","9","114","","39","0","0","1","","0","0","0","0","0","350"
"","14,390","","992","5,968","","968","173","7","16","","2","38","2","15","0","22,571"
"Intensive Supervison Program","423","","142","385","","175","9","2","1","","0","1","3","7","5","1,153"
"Earned Release Supervision","1,078","","116","435","","94","3","1","2","","0","1","0","0","0","1,730"
"Medical Release","6","","1","7","","0","0","0","0","","0","0","0","0","0","14"
"Other Custody","128","","9","115","","13","34","3","0","","0","3","0","3","1","309"
"At Large","44","","2","14","","2","4","0","0","","0","0","0","0","0","66"
"Off-Grounds Medical (Hospital)","1","","0","3","","0","0","0","0","","0","0","0","0","0","4"
"TOTAL","16,070","","1,262","6,927","","1,252","223","13","19","","2","43","5","25","6","25,847"
"% OF TOTAL OFFENSES","62.17%","","4.88%","26.80%","","4.84%","0.86%","0.05%","0.07%","","0.01%","0.17%","0.02%","0.10%","0.02%","100.00%"
