"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of January 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,636","54.00%","","",""
"Compact Probation","1,100","5.59%","","",""
"Nonadjudicated","1,861","9.45%","","",""
"Post Release","1,980","10.05%","","",""
"","15,577","79.09%","Probation Total","",""
"Parole","1,304","6.62%","","",""
"Compact Parole","444","2.25%","","",""
"Suspension","8","0.04%","","",""
"","1,756","8.92%","Parole Total","",""
"Intensive Supervision Program - Court","1,020","5.18%","","",""
"Intensive Supervision Program - Prison","299","1.52%","","",""
"Earned Release Supervision","1,042","5.29%","","",""
"Medical Release","1","0.01%","","",""
"","2,362","11.99%","Community Inmate Total","",""
"TOTAL","19,695","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,288","60.49%","1,910","55.62%","9,198","59.05%"
"White
4,651","38.60%","1,488","43.33%","6,139","39.41%"
"Hispanic
47","0.39%","15","0.44%","62","0.40%"
"Native American
27","0.22%","6","0.17%","33","0.21%"
"Asian
36","0.30%","15","0.44%","51","0.33%"
"Data Unavailable","0.00%","","0.00%","94","0.60%"
"TOTAL
12,049","100.00%","3,434","100.00%","15,577","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,959","12.58%","","","",""
"Property
8,992","57.73%","","","",""
"Drug
4,626","29.70%","","","",""
"TOTAL
15,577","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,141","72.49%","106","58.24%","1,247","71.01%"
"White
420","26.68%","75","41.21%","495","28.19%"
"Hispanic
11","0.70%","","0.55%","12","0.68%"
"Native American
1","0.06%","1 0 0","0.00%","","0.06%"
"Asian
1","0.06%","","0.00%","11","0.06%"
"TOTAL
1,574","100.00%","182","100.00%","1,756","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
684","38.95%","","","",""
"Property
480","27.33%","","","",""
"Drug
592","33.71%","","","",""
"TOTAL
1,756","100.00%","","","",""
