"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,413","","67.34%","","","","816","","","42.54%","","","","14,229","","","","65.17%"
"White
6,227","","31.26%","","","","1,072","","","55.89%","","","","7,299","","","","33.43%"
"Hispanic
202","","1.01%","","","","21","","","1.09%","","","","223","","","","1.02%"
"Native American
24","",".12%","","","","","","",".26%","","","","29","","","",".13%"
"Asian
44","",".22%","","","","","","",".16%","","","","47","","","",".22%"
"Data Unavailable
7","",".04%","","","","1","","",".05%","","","","8","","","",".04%"
"TOTAL
19,917","","100.00%","","","","1,918","","","100.00%","","","","21,835","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,094","","0","968","0","","22","0","","4","0","5","","0","1","0","3,094"
"CMCF","797","","373","462","403","","10","4","","2","2","3","","1","0","0","2,057"
"SMCI","1,655","","0","927","0","","31","0","","1","0","7","","0","0","0","2,621"
"County Jails (approved)","650","","24","376","48","","5","0","","1","0","0","","1","0","0","1,105"
"County Jails (unapproved)","41","","4","17","14","","1","1","","0","0","1","","1","0","0","80"
"Youthful Offender Facility","28","","0","6","0","","0","0","","0","0","0","","0","0","0","34"
"Private Prisons","3,163","","0","1,041","0","","38","0","","8","0","9","","0","0","0","4,259"
"Regional Correctional Facilities","2,697","","122","1,158","145","","34","3","","2","0","8","","0","0","0","4,169"
"Community Work Centers","611","","59","306","122","","0","1","","2","0","1","","0","2","0","1,104"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"TVC","2","","0","0","0","","0","0","","0","0","0","","0","0","0","2"
"Community Trusties","7","","0","2","0","","0","0","","0","0","0","","0","0","0","9"
"Pending File Review","53","","7","46","12","","0","0","","0","0","1","","0","0","0","119"
"Court Order","113","","7","72","12","","0","0","","0","0","0","","1","0","0","205"
"","11,912","","596","5,381","756","","141","9","","20","2","35","","4","3","0","18,859"
"Intensive Supervison Program","513","","146","413","242","","5","5","","0","2","4","","0","1","1","1,332"
"Earned Release Supervision","717","","63","234","50","","4","0","","2","0","1","","0","0","0","1,071"
"Medical Release","10","","0","7","2","","0","0","","0","0","0","","0","0","0","19"
"Other Custody","240","","11","184","20","","49","6","","2","1","3","","0","3","0","519"
"At Large","16","","0","7","2","","3","0","","0","0","0","","0","0","0","28"
"Off-Grounds Medical (Hospital)","5","","0","2","0","","0","0","","0","0","0","","0","0","0","7"
"TOTAL","13,413","","816","6,228","1,072","","202","20","","24","5","43","","4","7","1","21,835"
"% OF TOTAL OFFENDERS","61.43%","","3.74%","28.52%","4.91%","",".93%",".09%","",".11%",".02%",".20%","",".02%",".03%",".00%","5 3
100.00%"
