"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,288","63.28%","","390","35.71%","4,678","59.46%"
"White","2,432","35.89%","","686","62.82%","3,118","39.63%"
"Hispanic","24",".35%","","12","1.10%","36",".46%"
"Native American","12",".18%","","2",".18%","14",".18%"
"Asian","16",".24%","","1",".09%","17",".22%"
"Data Unavailable","4",".06%","","1",".09%","5",".06%"
"TOTAL","6,776","100.00%","","1,092","100.00%","7,868","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,969","50.44%",""
"","","","Property","","3,074","39.07%",""
"","","","Aggravated Assault","","101","1.28%",""
"","","","Violent","","623","7.92%",""
"","","","Sex","","101","1.28%",""
"","","","TOTAL","","7,868","100.00%",""
