"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,387","15.79%"
"Probation - Compact","1,355","3.97%"
"Probation - Nonadjudicated","3,355","9.84%"
"Probation - Post Release","13,372","39.21%"
"TVC Probation","115","0.34%"
"PROBATION TOTAL","23,584","69.15%"
"Parole","8,279","24.27%"
"Parole - Compact","578","1.69%"
"Parole - Suspension","0","0.00%"
"TVC Parole","307","0.90%"
"PAROLE TOTAL","9,164","26.87%"
"Intensive Supervision Program - Court","719","2.11%"
"Intensive Supervision Program - Prison","50","0.15%"
"Earned Release Supervision","566","1.66%"
"Medical Release","15","0.04%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,359","3.98%"
"TOTAL","34,107","100.00%"
