county,jail pop,min LOS,max LOS,median LOS
Adams,49,0,97,9
Alcorn,116,0,873,72
Amite,18,1,283,35
Attala,24,18,669,323
Benton,15,0,382,84
Bolivar,27,2,1317,100
Calhoun,14,1,984,34.5
Carroll,15,117,460,253
Chickasaw,18,16,520,71
Choctaw,4,5,216,105
Claiborne,17,1,158,39
Clarke,18,1,1241,31
Clay,81,1,2871,215
Coahoma,35,10,1933,120
Copiah,41,0,1993,47
Covington,67,0,1126,92
Desoto,323,0,806,30
Forrest,68,86,835,169.5
Franklin,4,75,652,229
George,68,1,1273,39
Greene,31,3,159,25
Grenada,131,0,922,73
Hancock,217,1,1586,41
Harrison,804,0,1502,48
Hinds,347,91,2122,355
Holmes,29,9,1418,128
Humphreys,4,17,754,422
Issaquena,12,5,897,115
Itawamba,10,0,1269,119
Jackson,60,95,546,181
Jasper,44,28,717,74.5
Jefferson,3,1,27,9
Jefferson Davis,14,1,697,29.5
Jones,161,0,604,43
Kemper,12,8,36,27
Lafayette,31,2,957,45
Lamar,32,54,2370,209
Lauderdale,140,3,1075,100
Lawrence,11,5,255,25
Leake,35,18,730,116
Lee,118,21,1019,80.5
Leflore,74,0,1373,117
Lincoln,70,1,633,70
Lowndes,197,0,1307,65
Madison,52,94,1869,218.5
Marion,108,7,3302,33.5
Marshall,59,0,564,17
Monroe,25,1,1111,85
Montgomery,9,93,931,330
Neshoba,41,3,881,43
Newton,22,4,271,92.5
Noxubee,19,0,1101,71
Oktibbeha,79,1,1043,124
Panola,81,0,2010,79
Pearl River,192,0,1176,68.5
Perry,18,28,341,53
Pike,90,6,667,161.5
Pontotoc,57,0,1069,20
Prentiss,20,79,3144,191
Quitman,11,40,1107,257
Rankin,227,6,774,90
Scott,30,5,388,82
Sharkey,3,261,503,372
Simpson,68,9,1430,119.5
Smith,27,1,842,22
Stone,42,1,406,34
Sunflower,34,1,1168,79
Tallahatchie,35,1,1066,113
Tate,56,1,1140,81.5
Tippah,36,1,578,25
Tishomingo,41,0,708,65
Tunica,18,0,1371,99.5
Union,51,0,1179,38
Walthall,26,2,421,45
Warren,133,146,1093,421
Washington,113,0,1245,114
Wayne,33,82,1298,156
Webster,9,40,292,104
Wilkinson,14,12,421,99.5
Winston,11,3,540,208
Yalobusha,44,0,474,38.5
Yazoo,39,4,618,148
