year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,12557,7289,0.0,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,12966,7548,0.0,,5.625,5.125,0.0,0.0,0.0,0.0,0.0,0.0,
1972,13065,7635,0.0,,7.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,
1973,13298,7813,0.0,,8.875,7.375,0.0,0.0,0.0,0.0,0.0,0.0,
1974,13648,8037,0.0,,10.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,
1975,14148,8356,0.0,,12.125,9.625,0.0,0.0,0.0,0.0,0.0,0.0,
1976,14403,8585,0.0,,13.75,10.75,0.0,0.0,0.0,0.0,0.0,0.0,
1977,14731,8826,0.0,,15.375,11.875,0.0,0.0,0.0,0.0,0.0,0.0,
1978,14842,8940,260.7143,,17.0,13.0,2.0,0.0,4.0,0.0,1.0,0.0,
1979,15110,9142,260.5714,,16.4,11.6,3.2,0.0,3.92,0.0,0.0,0.0,
1980,15356,9331,260.4286,,15.8,10.2,4.4,0.0,3.84,0.0,0.0,0.0,
1981,15543,9502,260.2857,,15.2,8.8,5.6,0.0,3.76,0.0,0.0,0.0,
1982,15828,9727,260.1429,,14.6,7.4,6.8,0.0,3.68,0.0,0.0,0.0,
1983,15912,9815,260.0,,14.0,6.0,8.0,0.0,3.6,0.0,0.0,0.0,
1984,16004,9915,289.4,,13.6,5.6,7.6875,0.0,3.52,0.0,0.0,0.0,
1985,16035,9980,318.8,,13.2,5.2,7.375,0.0,3.44,0.0,0.0,0.0,
1986,16092,10089,348.2,,12.8,4.8,7.0625,0.0,3.36,0.0,0.0,0.0,
1987,16192,10221,377.6,,12.4,4.4,6.75,0.0,3.28,0.0,0.0,0.0,
1988,16320,10354,407.0,,12.0,4.0,6.4375,0.0,3.2,0.0,0.0,0.0,
1989,16528,10539,678.1169,,12.0,3.6,6.125,0.0,3.12,0.0,0.0,0.0,
1990,16697,10779,949.2338,,12.0,3.2,5.8125,0.0,3.04,0.0,0.0,0.0,
1991,16883,10877,1220.351,,12.0,2.8,5.5,0.0,2.96,0.0,0.0,0.0,
1992,16929,10886,1491.4679999999998,,12.0,2.4,5.1875,0.0,2.88,0.0,0.0,0.0,
1993,16987,10929,1762.5839999999998,,12.0,2.0,4.875,0.0,2.8,0.0,0.0,0.0,
1994,17304,11154,2033.701,,14.166670000000002,5.1,4.5625,0.0,2.72,0.0,0.0,0.0,
1995,17581,11357,2304.8179999999998,,16.33333,8.2,4.25,0.0,2.64,0.0,0.0,0.0,
1996,17785,11485,2575.935,,18.5,11.3,3.9375,0.0,2.56,0.0,0.0,0.0,
1997,18150,11700,2847.052,,20.66667,14.4,3.625,0.0,2.48,0.0,0.0,0.0,
1998,18592,12017,3118.1690000000003,,22.83333,17.5,3.3125,0.0,2.4,0.0,0.0,0.0,
1999,19057,12308,3389.2859999999996,,25.0,20.6,3.0,0.0,2.32,0.0,0.0,0.0,
2000,19257,12471,2972.143,1002.0,81.25,23.7,61.75,0.0,2.24,0.0,0.0,0.0,66.0
2001,19459,12625,2555.0,1000.0,137.5,26.8,120.5,0.0,2.16,0.0,0.0,0.0,55.0
2002,19811,12879,2137.857,1090.0,193.75,29.9,179.25,0.0,2.08,0.0,0.0,0.0,186.0
2003,20166,13048,1720.714,1150.0,250.0,33.0,238.0,0.0,2.0,0.0,0.0,0.0,295.0
2004,20326,13188,260.7143,1220.0,250.0,46.0,247.0,0.0,16.33333,0.0,0.0,0.0,315.0
2005,20699,13465,365.0,1375.0,288.0,45.0,250.0,0.0,30.66667,0.0,0.0,0.0,323.0
2006,21382,13960,1042.857,1375.0,333.0,45.0,280.0,0.0,45.0,0.0,0.0,0.0,312.0
2007,21764,14231,1042.54,1375.0,300.0,46.0,280.0,0.0,50.0,0.0,0.0,0.0,312.0
2008,22193,14566,1042.222,1375.0,300.0,46.0,280.0,0.0,55.0,0.0,0.0,0.0,312.0
2009,22280,14521,1041.905,1375.0,300.0,46.0,280.0,0.0,60.0,0.0,0.0,0.0,312.0
2010,22579,14704,1041.587,1375.0,248.0,53.333330000000004,280.0,0.0,65.0,0.0,0.0,0.0,312.0
2011,22648,14738,1041.27,1375.0,272.4,60.666669999999996,280.0,0.0,70.0,0.0,0.0,0.0,312.0
2012,22845,14817,1040.952,1375.0,296.8,68.0,280.0,0.0,75.0,0.0,0.0,0.0,312.0
2013,22906,14741,1040.635,1375.0,321.2,75.33334,280.0,0.0,80.0,0.0,0.0,0.0,312.0
2014,23199,14858,1040.318,,345.6,82.66666,280.0,0.0,85.0,0.0,0.0,0.0,
2015,23310,14885,1040.0,,370.0,90.0,280.0,0.0,90.0,0.0,0.0,0.0,
2016,23409,14937,,,,,,,,,,,
