year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,88789,52903,0.0,,41.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,92069,55435,0.0,,45.75,28.125,0.0,0.0,0.0,0.0,0.0,0.0,
1972,97844,59737,0.0,,50.5,31.25,0.0,0.0,0.0,0.0,0.0,0.0,
1973,103891,64294,0.0,,55.25,34.375,0.0,0.0,0.0,0.0,0.0,0.0,
1974,106524,66613,0.0,,60.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,
1975,107657,67876,0.0,,64.75,40.625,0.0,0.0,0.0,0.0,0.0,0.0,
1976,112637,71886,0.0,,69.5,43.75,0.0,0.0,0.0,0.0,0.0,0.0,
1977,116036,74923,0.0,,74.25,46.875,0.0,0.0,0.0,0.0,0.0,0.0,
1978,118412,77014,312.8571,,79.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,
1979,118253,77211,504.6857,,94.2,55.6,15.0,0.0,0.0,0.0,0.0,0.0,
1980,118150,77494,696.5143,,109.4,61.2,28.0,0.0,0.0,0.0,0.0,0.0,
1981,118458,77794,888.3428,,124.6,66.8,41.0,0.0,0.0,0.0,0.0,0.0,
1982,121257,79659,1080.171,,139.8,72.4,54.0,0.0,0.0,0.0,0.0,0.0,
1983,121912,80021,1272.0,,155.0,78.0,67.0,0.0,0.0,0.0,1.0,0.0,
1984,119975,78766,1190.5,,132.5,57.0,34.0,0.0,0.0,0.0,1.5,0.0,
1985,120122,78851,1109.0,,110.0,36.0,1.0,0.0,0.0,0.0,2.0,0.0,
1986,120051,79072,1125.0,,93.0,67.0,52.0,0.0,0.0,0.0,1.9285709999999998,0.0,
1987,118779,78440,1327.0,,125.0,61.0,76.0,0.0,0.0,0.0,1.857143,0.0,
1988,119130,78815,818.0,,122.0,60.0,78.66666,0.0,1.0,0.0,1.785714,0.0,
1989,116650,77215,2407.0,,150.0,80.0,81.33334,0.0,1.0,0.0,1.714286,0.0,
1990,115078,76809,2164.0,,131.0,65.0,84.0,0.0,1.0,0.0,1.642857,0.0,
1991,116468,77432,1946.0,,98.0,44.0,86.66666,0.0,1.0,0.0,1.5714290000000002,0.0,
1992,119906,79618,1928.714,,140.0,69.0,89.33334,0.0,1.0,0.0,1.5,0.0,
1993,122811,81958,1911.4289999999999,,145.0,79.0,92.0,0.0,1.0,0.0,1.4285709999999998,0.0,
1994,124931,83427,1894.1429999999998,,150.0,92.25,90.4,0.0,1.0,0.0,1.357143,0.0,
1995,126626,84754,1876.8570000000002,,186.0,105.5,88.8,0.0,1.0,0.0,1.285714,0.0,
1996,126106,84118,1859.5710000000001,,225.0,118.75,87.2,0.0,1.0,0.0,1.214286,0.0,
1997,126961,84641,1842.286,,200.0,132.0,85.6,0.0,1.0,0.0,1.142857,0.0,
1998,128412,85832,1825.0,,211.0,120.0,84.0,0.0,1.0,0.0,1.0714290000000002,0.0,
1999,130392,87130,2972.143,,238.0,198.0,95.5,0.0,1.0,0.0,1.0,0.0,
2000,132019,88216,938.5714,3479.0,234.0,157.0,107.0,4.0,1.0,0.0,1.0,0.0,186.0
2001,133069,89036,3180.7140000000004,3479.0,211.0,200.0,1.0,4.3333330000000005,1.0,0.0,1.0,0.0,248.0
2002,133688,89530,2502.857,2990.0,228.0,127.0,22.0,4.6666669999999995,60.0,0.0,1.0,0.0,213.0
2003,134234,89746,1303.5710000000001,3700.0,210.0,229.0,5.0,5.0,56.181819999999995,0.0,1.0,0.0,236.0
2004,136565,91458,4692.857,3107.0,263.0,148.0,95.0,3.0,52.363640000000004,0.0,3.0,0.0,243.0
2005,137913,92600,3232.857,6025.0,271.0,272.0,3.0,0.0,48.54546,0.0,3.0,0.0,313.0
2006,132717,89521,3374.75,5487.0,286.625,263.75,24.125,0.0,44.727270000000004,0.0,3.0,0.0,395.0
2007,136028,91523,3516.643,6146.0,302.25,255.5,45.25,0.0,40.90909,0.0,3.0,0.0,439.0
2008,137791,92363,3658.5359999999996,6600.0,317.875,247.25,66.375,0.0,37.09091,0.0,3.0,0.0,433.0
2009,139176,93071,3800.429,6156.0,333.5,239.0,87.5,0.0,33.272729999999996,0.0,3.0,0.0,380.0
2010,139668,93089,3942.322,5873.0,349.125,230.75,108.625,0.0,29.45455,0.0,3.0,0.0,463.0
2011,139454,92955,4084.2140000000004,5815.0,364.75,222.5,129.75,0.0,25.63636,0.0,3.0,0.0,456.0
2012,139936,93125,4226.107,6413.0,380.375,214.25,150.875,0.0,21.818179999999998,0.0,3.0,0.0,429.0
2013,139890,92472,4368.0,6094.0,396.0,206.0,172.0,0.0,18.0,0.0,3.0,0.0,410.0
2014,140260,92568,4368.0,,396.0,206.0,172.0,0.0,18.0,0.0,3.0,0.0,
2015,141374,93026,4368.0,,396.0,206.0,172.0,0.0,18.0,0.0,3.0,0.0,
2016,141236,92719,,,,,,,,,,,
