year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,9248,4848,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,9086,4795,0.0,,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1972,9124,4885,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973,9018,4885,0.0,,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1974,8694,4732,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,8727,4813,0.0,,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1976,9020,5040,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1977,9267,5209,0.0,,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1978,9306,5251,208.5714,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,
1979,9204,5217,186.8571,,8.4,7.2,0.0,0.0,0.0,0.0,0.0,0.0,
1980,9163,5198,165.1428,,8.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,
1981,9174,5225,143.4286,,9.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,
1982,9213,5261,121.7143,,9.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,
1983,9100,5206,100.0,,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,
1984,9212,5282,126.3393,,9.7,4.1,19.75,0.0,0.0,0.0,0.0,0.0,
1985,9062,5206,152.6786,,9.4,4.2,35.5,0.0,0.0,0.0,0.0,0.0,
1986,8983,5196,179.0179,,9.1,4.3,51.25,0.0,0.0,0.0,0.0,0.0,
1987,8869,5155,205.3571,,8.8,4.4,67.0,0.0,0.0,0.0,0.0,0.0,
1988,8999,5256,231.6964,,8.5,4.5,82.75,0.0,0.0,0.0,0.0,0.0,
1989,8874,5199,258.0357,,8.2,4.6,98.5,0.0,0.0,0.0,0.0,0.0,
1990,8637,5125,284.375,,7.9,4.7,114.25,0.0,0.0,0.0,0.0,0.0,
1991,8570,5122,310.7143,,7.6,4.8,130.0,0.0,0.0,0.0,0.0,0.0,
1992,8777,5298,337.0536,,7.3,4.9,145.75,0.0,0.0,0.0,0.0,0.0,
1993,8849,5389,363.3929,,7.0,5.0,161.5,0.0,0.0,0.0,0.0,0.0,
1994,9030,5563,389.7321,,49.5,5.8333330000000005,177.25,0.0,0.0,0.0,0.0,0.0,
1995,9237,5774,416.0714,,92.0,6.6666669999999995,193.0,0.0,0.0,0.0,0.0,0.0,
1996,9316,5904,442.4107,,134.5,7.5,208.75,0.0,0.0,0.0,0.0,0.0,
1997,9499,6077,468.75,,177.0,8.333333,224.5,0.0,0.0,0.0,0.0,0.0,
1998,9593,6216,495.0893,,219.5,9.166667,240.25,0.0,0.0,0.0,0.0,0.0,
1999,9655,6293,521.4286,,262.0,10.0,256.0,0.0,2.0,0.0,0.0,0.0,
2000,9649,6342,260.7143,304.0,25.0,19.0,23.0,0.0,3.666667,0.0,0.0,0.0,253.0
2001,9436,6283,443.2143,304.0,233.0,11.0,223.0,0.0,5.3333330000000005,0.0,0.0,0.0,260.0
2002,9251,6197,625.7143,304.0,224.0,16.0,226.0,0.0,7.0,0.0,0.0,0.0,272.0
2003,8929,5963,625.7143,304.0,260.0,10.0,247.0,0.0,1.0,0.0,0.0,0.0,488.0
2004,8760,5923,1095.0,304.0,278.0,21.0,4.0,0.0,7.0,0.0,0.0,0.0,249.0
2005,8461,5744,1095.0,304.0,264.0,10.0,250.0,0.0,0.0,0.0,0.0,0.0,248.0
2006,8241,5616,851.6667,304.0,169.0,11.25,244.0,0.0,0.0,0.0,0.0,0.0,272.0
2007,8127,5540,608.3333,304.0,270.0,12.5,273.0,0.0,0.0,0.0,0.0,0.0,296.0
2008,7927,5377,365.0,304.0,295.0,13.75,286.0,0.0,0.0,0.0,0.0,0.0,302.0
2009,7842,5364,1042.857,641.0,285.0,15.0,281.0,0.0,0.0,0.0,0.0,0.0,307.0
2010,7732,5275,521.4286,641.0,250.0,24.0,236.0,0.0,0.0,0.0,0.0,0.0,277.0
2011,7721,5262,417.1429,400.0,252.0,20.0,248.0,0.0,0.0,0.0,0.0,0.0,234.0
2012,7593,5164,625.7143,1115.0,325.0,28.0,318.0,0.0,0.0,0.0,0.0,0.0,349.0
2013,7679,5206,318.0,1115.0,321.0,9.0,318.0,0.0,0.0,0.0,0.0,0.0,321.0
2014,7653,5140,417.1429,,321.0,15.0,325.0,0.0,0.0,0.0,0.0,0.0,
2015,7577,5059,486.0,,275.0,12.0,275.0,0.0,0.0,0.0,0.0,0.0,
2016,7499,4948,,,,,,,,,,,
