year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,11253,6451,0.0,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,11710,6757,0.0,,4.25,2.111111,0.0,0.0,0.0,0.0,0.0,0.0,
1972,11574,6704,0.0,,4.5,2.222222,0.0,0.0,0.0,0.0,0.0,0.0,
1973,11591,6751,0.0,,4.75,2.333333,0.0,0.0,0.0,0.0,0.0,0.0,
1974,11743,6877,0.0,,5.0,2.444444,0.0,0.0,0.0,0.0,0.0,0.0,
1975,11966,7044,0.0,,5.25,2.555556,0.0,0.0,0.0,0.0,0.0,0.0,
1976,12069,7158,0.0,,5.5,2.666667,0.0,0.0,0.0,0.0,0.0,0.0,
1977,12025,7183,0.0,,5.75,2.777778,0.0,0.0,0.0,0.0,0.0,0.0,
1978,12132,7281,521.4286,,6.0,2.888889,3.0,0.0,0.0,0.0,0.0,0.0,
1979,12359,7436,521.1429,,6.6,3.0,3.0,0.0,0.0,0.0,0.0,0.0,
1980,12543,7578,520.8572,,7.2,3.111111,3.0,0.0,0.0,0.0,0.0,0.0,
1981,12655,7660,520.5714,,7.8,3.222222,3.0,0.0,0.0,0.0,0.0,0.0,
1982,12678,7688,520.2857,,8.4,3.333333,3.0,0.0,0.0,0.0,0.0,0.0,
1983,12919,7833,520.0,,9.0,3.4444440000000003,3.0,0.0,0.0,0.0,0.0,0.0,
1984,12928,7852,468.6,,8.4,3.5555559999999997,2.6,0.0,0.0,0.0,0.0,0.0,
1985,12960,7883,417.2,,7.8,3.666667,2.2,0.0,0.0,0.0,0.0,0.0,
1986,12688,7750,365.8,,7.2,3.777778,1.8,0.0,0.0,0.0,0.0,0.0,
1987,12590,7719,314.4,,6.6,3.888889,1.4,0.0,0.0,0.0,0.0,0.0,
1988,12416,7633,263.0,,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,
1989,12439,7660,258.0519,,7.8,6.8,1.0,0.0,0.0,0.0,0.0,0.0,
1990,12468,7761,253.1039,,9.6,9.6,1.0,0.0,0.0,0.0,0.0,0.0,
1991,12442,7778,248.1558,,11.4,12.4,1.0,0.0,0.0,0.0,0.0,0.0,
1992,12380,7723,243.2078,,13.2,15.2,1.0,0.0,0.0,0.0,0.0,0.0,
1993,12516,7826,238.2597,,15.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,
1994,12677,7951,233.3117,,15.833329999999998,18.5,1.166667,0.0,0.0,0.0,0.0,0.0,
1995,12780,8068,228.3636,,16.66667,19.0,1.333333,0.0,0.0,0.0,0.0,0.0,
1996,12938,8201,223.4156,,17.5,19.5,1.5,0.0,0.0,0.0,0.0,0.0,
1997,13009,8266,218.4675,,18.33333,20.0,1.666667,0.0,0.0,0.0,0.0,0.0,
1998,13091,8364,213.5195,,19.16667,20.5,1.833333,0.0,0.0,0.0,0.0,0.0,
1999,13146,8441,208.5714,,20.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,
2000,13215,8529,260.7143,517.0,30.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,31.0
2001,13235,8543,260.7143,747.0,44.0,31.0,13.0,0.0,5.0,0.0,0.0,0.0,40.0
2002,13137,8484,730.0,747.0,60.0,41.0,15.0,0.0,1.0,0.0,0.0,0.0,50.0
2003,13190,8546,521.4286,365.0,50.0,43.0,15.0,0.0,3.181818,0.0,0.0,0.0,48.0
2004,13149,8463,417.1429,805.0,50.0,41.2,12.0,0.0,5.363636,0.0,0.0,0.0,38.0
2005,13097,8478,417.1429,707.0,50.0,39.4,12.0,0.0,7.5454550000000005,0.0,0.0,0.0,36.0
2006,13053,8470,368.1251,722.0,46.875,37.6,12.0,0.0,9.727273,0.0,0.0,0.0,40.0
2007,13043,8494,319.1072,753.0,43.75,35.8,12.0,0.0,11.909089999999999,0.0,0.0,0.0,40.0
2008,13038,8397,270.0893,700.0,40.625,34.0,12.0,0.0,14.090910000000001,0.0,0.0,0.0,33.0
2009,13054,8434,221.0715,700.0,37.5,32.2,12.0,0.0,16.27273,0.0,0.0,0.0,33.0
2010,12929,8327,172.0536,325.0,34.375,30.4,12.0,0.0,18.45455,0.0,0.0,0.0,29.0
2011,12906,8314,123.0357,245.0,31.25,28.6,12.0,0.0,20.63636,0.0,0.0,0.0,28.0
2012,12724,8162,74.01787,208.0,28.125,26.8,12.0,0.0,22.818179999999998,0.0,0.0,0.0,17.0
2013,12666,8074,25.0,208.0,25.0,25.0,12.0,0.0,25.0,0.0,0.0,0.0,25.0
2014,12576,8019,25.0,,25.0,25.0,12.0,0.0,25.0,0.0,0.0,0.0,
2015,12601,7942,25.0,,25.0,25.0,12.0,0.0,25.0,0.0,0.0,0.0,
2016,12672,7962,,,,,,,,,,,
