year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,10169,5892,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,10617,6219,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1972,10137,5925,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973,10244,6043,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1974,10163,6016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,10114,6018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1976,10115,6047,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1977,10149,6084,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1978,10354,6228,1042.857,,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,
1979,10515,6322,1034.286,,13.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,
1980,10297,6162,1025.714,,12.4,0.0,5.6,0.0,0.0,0.0,0.0,0.0,
1981,10253,6135,1017.143,,11.6,0.0,5.4,0.0,0.0,0.0,0.0,0.0,
1982,10428,6247,1008.571,,10.8,0.0,5.2,0.0,0.0,0.0,0.0,0.0,
1983,10470,6269,1000.0,,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,
1984,10433,6247,903.0,,9.8,4.4,6.6,0.0,0.0,0.0,0.0,0.0,
1985,10451,6262,806.0,,9.6,3.8,8.2,0.0,0.0,0.0,0.0,0.0,
1986,10536,6328,709.0,,9.4,3.2,9.8,0.0,0.0,0.0,0.0,0.0,
1987,10368,6239,612.0,,9.2,2.6,11.4,0.0,0.0,0.0,0.0,0.0,
1988,10286,6195,515.0,,9.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,
1989,10268,6189,506.1765,,10.0,3.2,10.8,0.0,0.0,0.0,0.0,0.0,
1990,10203,6192,497.3529,,11.0,4.4,8.6,0.0,0.0,0.0,0.0,0.0,
1991,10208,6181,488.5294,,12.0,5.6,6.4,0.0,0.0,0.0,0.0,0.0,
1992,10217,6203,479.7059,,13.0,6.8,4.2,0.0,0.0,0.0,0.0,0.0,
1993,10183,6174,470.8824,,14.0,8.0,2.0,0.0,8.0,0.0,0.0,0.0,
1994,10275,6263,462.0588,,15.5,9.416667,2.666667,0.0,7.5,0.0,0.0,0.0,
1995,10307,6316,453.2353,,17.0,10.83333,3.333333,0.0,7.0,0.0,0.0,0.0,
1996,10282,6331,444.4118,,18.5,12.25,4.0,0.0,6.5,0.0,0.0,0.0,
1997,10263,6327,435.5882,,20.0,13.666670000000002,4.6666669999999995,0.0,6.0,0.0,0.0,0.0,
1998,10377,6416,426.7647,,21.5,15.083329999999998,5.3333330000000005,0.0,5.5,0.0,0.0,0.0,
1999,10332,6422,417.9412,,23.0,16.5,6.0,0.0,5.0,0.0,0.0,0.0,
2000,10282,6419,409.1176,925.0,22.66667,17.91667,6.6666669999999995,0.0,4.5,0.0,0.0,0.0,32.0
2001,10250,6408,400.2941,925.0,22.33333,19.33333,7.3333330000000005,0.0,4.0,0.0,0.0,0.0,23.0
2002,10213,6357,391.4706,925.0,22.0,20.75,8.0,0.0,3.5,0.0,0.0,0.0,31.0
2003,10044,6317,382.6471,925.0,21.66667,22.16667,8.666667,0.0,3.0,0.0,0.0,0.0,22.0
2004,10057,6340,373.8235,630.0,21.33333,23.58333,9.333333,0.0,2.5,0.0,0.0,0.0,28.0
2005,9979,6347,365.0,630.0,21.0,25.0,10.0,0.0,2.0,0.0,0.0,0.0,23.0
2006,10022,6386,365.0,240.0,19.625,22.625,8.875,0.0,2.0,0.0,0.0,0.0,25.0
2007,10035,6378,365.0,760.0,18.25,20.25,7.75,0.0,2.0,0.0,0.0,0.0,20.0
2008,10204,6507,365.0,791.0,16.875,17.875,6.625,0.0,2.0,0.0,0.0,0.0,12.0
2009,10164,6461,365.0,690.0,15.5,15.5,5.5,0.0,2.0,0.0,0.0,0.0,15.0
2010,10252,6503,365.0,662.0,14.125,13.125,4.375,0.0,2.0,0.0,0.0,0.0,9.0
2011,10258,6513,365.0,630.0,12.75,10.75,3.25,0.0,2.0,0.0,0.0,0.0,14.0
2012,10182,6460,365.0,550.0,11.375,8.375,2.125,0.0,2.0,0.0,0.0,0.0,11.0
2013,10078,6371,365.0,550.0,10.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0
2014,9939,6295,365.0,,10.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,
2015,9989,6285,365.0,,10.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,
2016,9869,6248,,,,,,,,,,,
