year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,18502,10790,0.0,,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,18959,11058,0.0,,8.875,8.375,0.0,0.0,0.0,0.0,0.0,0.0,
1972,18893,11011,0.0,,8.75,7.75,0.0,0.0,0.0,0.0,0.0,0.0,
1973,19217,11231,0.0,,8.625,7.125,0.0,0.0,0.0,0.0,0.0,0.0,
1974,19627,11486,0.0,,8.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,
1975,19655,11481,0.0,,8.375,5.875,0.0,0.0,0.0,0.0,0.0,0.0,
1976,19603,11487,0.0,,8.25,5.25,0.0,0.0,0.0,0.0,0.0,0.0,
1977,19659,11558,0.0,,8.125,4.625,0.0,0.0,0.0,0.0,0.0,0.0,
1978,19728,11622,782.1429,,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,
1979,19625,11554,729.9286,,7.8,4.3,15.85714,0.0,0.0,0.0,0.0,0.0,
1980,19409,11410,677.7143,,7.6,4.6,27.71428,0.0,0.0,0.0,0.0,0.0,
1981,19223,11347,625.5,,7.4,4.9,39.57143,0.0,0.0,0.0,0.0,0.0,
1982,19115,11317,573.2857,,7.2,5.2,51.42857,0.0,0.0,0.0,0.0,0.0,
1983,18862,11191,521.0714,,7.0,5.5,63.285709999999995,0.0,0.0,0.0,0.0,0.0,
1984,19176,11408,468.8571,,6.8,5.8,75.14286,0.0,0.0,0.0,0.0,0.0,
1985,19303,11507,416.6429,,6.6,6.1,87.0,0.0,0.0,0.0,0.0,0.0,
1986,19504,11690,364.4286,,6.4,6.4,98.85714,0.0,0.0,0.0,0.0,0.0,
1987,19324,11641,312.2143,,6.2,6.7,110.7143,0.0,0.0,0.0,0.0,0.0,
1988,19376,11720,260.0,,6.0,7.0,122.5714,0.0,0.0,0.0,0.0,0.0,
1989,19409,11778,402.2727,,7.6,10.090910000000001,134.4286,0.0,0.0,0.0,0.0,0.0,
1990,19447,11918,544.5455,,9.2,13.181820000000002,146.2857,0.0,0.0,0.0,0.0,0.0,
1991,19729,12077,686.8182,,10.8,16.27273,158.1429,0.0,0.0,0.0,0.0,0.0,
1992,19671,11993,829.0909,,12.4,19.36364,170.0,0.0,0.0,0.0,0.0,0.0,
1993,19792,12063,971.3636,,14.0,22.45455,181.8571,0.0,0.0,0.0,0.0,0.0,
1994,19838,12134,1113.636,,61.5,25.54545,193.7143,0.0,0.0,0.0,0.0,0.0,
1995,19966,12300,1255.9089999999999,,109.0,28.636359999999996,205.5714,0.0,0.0,0.0,0.0,0.0,
1996,19956,12371,1398.182,,156.5,31.72727,217.4286,0.0,0.0,0.0,0.0,0.0,
1997,20023,12447,1540.455,,204.0,34.81818,229.2857,0.0,0.0,0.0,0.0,0.0,
1998,20015,12532,1682.727,,251.5,37.90909,241.1429,0.0,0.0,0.0,0.0,0.0,
1999,20105,12605,1825.0,,299.0,41.0,253.0,0.0,13.0,0.0,0.0,0.0,
2000,20152,12657,677.8571,1303.0,280.0,31.0,247.0,0.0,10.8,0.0,0.0,0.0,307.0
2001,20031,12610,730.0,1485.0,270.0,28.0,199.0,0.0,8.6,0.0,0.0,0.0,260.0
2002,19860,12552,886.4286,2050.0,260.0,45.0,202.0,0.0,6.4,0.0,0.0,0.0,259.0
2003,19796,12559,677.8571,1669.0,260.0,32.0,245.0,0.0,4.2,0.0,0.0,0.0,310.0
2004,19715,12541,730.0,1288.0,300.0,7.0,13.0,0.0,2.0,0.0,0.0,0.0,304.0
2005,19583,12493,1564.286,907.0,298.0,19.0,79.75,0.0,4.0,0.0,0.0,0.0,327.0
2006,19538,12487,1407.8570000000002,526.0,340.0,68.0,146.5,0.0,6.0,0.0,0.0,0.0,353.0
2007,19606,12450,1251.4289999999999,1302.0,339.0,37.0,213.25,0.0,8.0,1.0,0.0,0.0,350.0
2008,19342,12269,2085.714,1785.0,333.0,40.0,280.0,0.0,40.0,1.125,0.0,0.0,343.0
2009,19211,12159,1512.1429999999998,1416.0,321.0,43.0,266.0,0.0,48.0,1.25,0.0,0.0,362.0
2010,19198,12052,1929.286,1602.0,268.0,36.0,239.0,0.0,53.5,1.375,0.0,0.0,333.0
2011,19200,12045,1616.4289999999999,1519.0,275.0,59.0,225.0,0.0,59.0,1.5,0.0,0.0,275.0
2012,19040,11942,1877.1429999999998,1415.0,307.0,38.0,280.0,0.0,54.0,1.625,0.0,0.0,335.0
2013,18973,11818,1538.214,1352.0,312.5,25.5,277.5,0.0,49.0,1.75,0.0,0.0,320.0
2014,18757,11671,1199.286,,318.0,13.0,275.0,0.0,44.0,1.875,0.0,0.0,
2015,18601,11554,3997.0,,327.0,70.0,2.0,0.0,2.0,2.0,4.0,2.0,
2016,18447,11412,,,,,,,,,,,
