year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,7499,4084,0.0,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,7527,4127,0.0,,3.217391,1.956522,0.0,0.0,0.0,0.0,0.0,0.0,
1972,7552,4183,0.0,,3.4347830000000004,1.913043,0.0,0.0,0.0,0.0,0.0,0.0,
1973,7520,4211,0.0,,3.6521739999999996,1.8695650000000001,0.0,0.0,0.0,0.0,0.0,0.0,
1974,7532,4248,0.0,,3.869565,1.8260869999999998,0.0,0.0,0.0,0.0,0.0,0.0,
1975,7627,4353,0.0,,4.086957,1.782609,0.0,0.0,0.0,0.0,0.0,0.0,
1976,7661,4395,0.0,,4.304348,1.7391299999999998,0.0,0.0,0.0,0.0,0.0,0.0,
1977,7779,4519,0.0,,4.521739,1.695652,0.0,0.0,0.0,0.0,0.0,0.0,
1978,8048,4692,0.0,,4.73913,1.6521740000000003,0.0,0.0,0.0,0.0,0.0,0.0,
1979,8193,4810,0.0,,4.9565220000000005,1.608696,0.0,0.0,0.0,0.0,0.0,0.0,
1980,8152,4787,0.0,,5.173913,1.565217,0.0,0.0,0.0,0.0,0.0,0.0,
1981,8170,4812,0.0,,5.391304,1.521739,0.0,0.0,0.0,0.0,0.0,0.0,
1982,8118,4795,0.0,,5.608696,1.478261,0.0,0.0,0.0,0.0,0.0,0.0,
1983,8123,4797,0.0,,5.826087,1.434783,0.0,0.0,0.0,0.0,0.0,0.0,
1984,8249,4885,0.0,,6.0434779999999995,1.391304,0.0,0.0,0.0,0.0,0.0,0.0,
1985,8293,4920,0.0,,6.26087,1.347826,0.0,0.0,0.0,0.0,0.0,0.0,
1986,8212,4899,0.0,,6.478261,1.304348,0.0,0.0,0.0,0.0,0.0,0.0,
1987,8271,4954,0.0,,6.695652000000001,1.2608700000000002,0.0,0.0,0.0,0.0,0.0,0.0,
1988,8320,4999,0.0,,6.913042999999999,1.217391,0.0,0.0,0.0,0.0,0.0,0.0,
1989,8132,4895,0.0,,7.130435,1.173913,0.0,0.0,0.0,0.0,0.0,0.0,
1990,8028,4876,0.0,,7.3478259999999995,1.130435,0.0,0.0,0.0,0.0,0.0,0.0,
1991,7978,4828,0.0,,7.565217,1.086957,0.0,0.0,0.0,0.0,0.0,0.0,
1992,8056,4881,0.0,,7.782609,1.0434780000000001,0.0,0.0,0.0,0.0,0.0,0.0,
1993,7919,4829,0.0,,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
1994,8007,4877,0.0,,9.666667,2.333333,0.0,0.0,0.0,0.0,0.0,0.0,
1995,7987,4893,0.0,,11.33333,3.666667,0.0,0.0,0.0,0.0,0.0,0.0,
1996,8054,4971,0.0,,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
1997,8083,5015,0.0,,14.666670000000002,6.3333330000000005,0.0,0.0,0.0,0.0,0.0,0.0,
1998,8129,5064,0.0,,16.33333,7.6666669999999995,0.0,0.0,0.0,0.0,0.0,0.0,
1999,8066,5037,365.0,,18.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,
2000,8034,5031,341.9286,562.0,18.33333,9.285714,11.5,0.0,0.0,0.0,0.0,0.0,19.0
2001,8006,5006,318.8571,562.0,18.66667,9.571428,10.0,0.0,0.0,0.0,0.0,0.0,12.0
2002,8004,5045,295.7857,562.0,19.0,9.857142,8.5,0.0,0.0,0.0,0.0,0.0,13.0
2003,8073,5068,272.7143,500.0,19.33333,10.14286,7.0,0.0,0.0,0.0,0.0,0.0,14.0
2004,8146,5130,249.6429,511.0,19.66667,10.42857,5.5,0.0,0.0,0.0,0.0,0.0,15.0
2005,8307,5204,226.5714,616.0,20.0,10.71429,4.0,0.0,0.0,0.0,0.0,0.0,17.0
2006,8479,5329,203.5,597.0,20.25,11.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0
2007,8603,5402,180.4286,578.0,20.5,11.28571,4.0,0.0,0.0,0.0,0.0,0.0,21.0
2008,8769,5520,157.3571,560.0,20.75,11.57143,4.0,0.0,0.0,0.0,0.0,0.0,23.0
2009,8689,5553,134.2857,541.0,21.0,11.85714,4.0,0.0,0.0,0.0,0.0,0.0,20.0
2010,8730,5603,111.2143,522.0,21.25,12.14286,4.0,0.0,0.0,0.0,0.0,0.0,18.0
2011,8695,5586,88.14286,429.0,21.5,12.42857,4.0,0.0,0.0,0.0,0.0,0.0,17.0
2012,8715,5622,65.07143,470.0,21.75,12.71429,4.0,0.0,0.0,0.0,0.0,0.0,13.0
2013,8644,5517,42.0,470.0,22.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0
2014,8495,5420,42.0,,22.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,
2015,8298,5276,42.0,,22.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,
2016,8161,5162,,,,,,,,,,,
