year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,2682,1413,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,2466,1293,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1972,2395,1272,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973,2409,1301,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1974,2350,1285,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,2395,1334,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1976,2489,1417,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1977,2445,1404,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1978,2392,1385,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1979,2416,1415,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1980,2509,1492,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1981,2491,1482,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1982,2408,1435,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1983,2277,1354,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1984,2150,1277,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1985,2104,1254,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1986,2044,1224,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1987,1977,1191,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1988,1987,1195,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1989,1961,1182,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1990,1923,1154,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1991,1970,1202,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1992,2007,1239,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1993,1970,1213,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1994,1998,1251,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1995,1995,1268,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1996,2032,1316,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1997,2102,1380,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1998,2180,1450,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1999,2263,1509,417.1429,,239.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,
2000,2258,1510,98.91422,139.563890883,66.93647,12.4659,66.93647,0.0,0.0,0.0,0.0,0.0,13.2788944724
2001,2157,1435,104.1357,127.01707181299999,53.25663,11.45018,59.913709999999995,0.0,0.0,0.0,0.0,0.0,9.8524772685
2002,2012,1368,107.9348,220.19443919,64.68697,17.8536,52.00832,0.0,17.33611,0.0,0.0,0.0,78.65935313029999
2003,1959,1320,72.99599,194.971075974,71.2688,14.508289999999999,59.560359999999996,0.0,13.7447,0.0,0.0,0.0,11.962977246400001
2004,1813,1246,38.857659999999996,156.495215311,74.52153,61.852869999999996,61.852869999999996,0.0,10.184610000000001,0.0,0.0,0.0,7.452153110039999
2005,1720,1224,275.2115,5.02669404518,76.65708000000001,9.048049,68.86570999999999,0.0,7.037372,0.0,0.0,0.0,10.0533880904
2006,1649,1171,130.2737,4.9967996586400005,74.952,7.994878999999999,69.70535,0.0,3.7476,0.0,0.0,0.0,9.993599317280001
2007,1552,1097,111.5899,4.88423864648,83.03206,8.79163,66.91407,0.0,0.4884239,0.0,0.0,0.0,73.2635796972
2008,1521,1073,94.79914000000001,200.976136875,80.92188,8.937641000000001,72.95047,0.0,1.207789,0.0,0.0,0.0,13.527239982000001
2009,1443,996,76.12383,24.371941272399997,60.11745,14.623170000000002,76.59753,0.0,1.8569099999999998,0.0,0.0,0.0,1.85690981123
2010,1406,983,61.81715,105.582348686,70.38823000000001,21.468410000000002,72.96913,0.0,2.580902,0.0,0.0,0.0,8.44658789486
2011,1393,972,47.13431,30.7944150216,67.86615,28.42561,69.16899000000001,0.0,3.316322,0.0,0.0,0.0,1.89504092441
2012,1394,985,33.853190000000005,25.1715686275,68.71838000000001,37.37978,68.71838000000001,0.0,4.279167,0.0,0.0,0.0,2.76887254903
2013,1403,1024,18.12236,18.1223576225,84.39841,45.823679999999996,75.07834,0.0,5.177816,0.0,0.0,0.0,84.398408356
2014,1413,1036,339.6309,,83.71928,57.57351,40.53915,0.0,42.255790000000005,0.0,0.0,0.0,
2015,1393,1033,648.1162,,79.78409,67.09116,4.4036669999999996,0.0,77.71178,0.0,0.25903930000000003,0.25903930000000003,
2016,1346,994,,,,,,,,,,,
