year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,16031,9087,0.0,,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,16217,9240,0.0,,16.625,5.75,0.0,0.0,0.0,0.0,0.0,0.0,
1972,16368,9390,0.0,,15.25,5.5,0.0,0.0,0.0,0.0,0.0,0.0,
1973,16493,9519,0.0,,13.875,5.25,0.0,0.0,0.0,0.0,0.0,0.0,
1974,16687,9708,0.0,,12.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,16687,9765,0.0,,11.125,4.75,0.0,0.0,0.0,0.0,0.0,0.0,
1976,16903,9935,0.0,,9.75,4.5,0.0,0.0,0.0,0.0,0.0,0.0,
1977,17253,10168,0.0,,8.375,4.25,0.0,0.0,0.0,0.0,0.0,0.0,
1978,17291,10208,521.4286,,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
1979,17385,10253,457.1429,,8.0,3.4,3.6,0.0,0.0,0.0,0.0,0.0,
1980,17274,10174,392.8571,,9.0,2.8,5.2,0.0,0.0,0.0,0.0,0.0,
1981,17373,10269,328.5714,,10.0,2.2,6.8,0.0,0.0,0.0,0.0,0.0,
1982,17674,10458,264.2857,,11.0,1.6,8.4,0.0,0.0,0.0,0.0,0.0,
1983,17598,10429,200.0,,12.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,
1984,17721,10513,214.4,,12.8,2.4,8.2,0.0,0.0,0.0,0.0,0.0,
1985,17762,10548,228.8,,13.6,3.8,6.4,0.0,0.0,0.0,0.0,0.0,
1986,17307,10323,243.2,,14.4,5.2,4.6,0.0,0.0,0.0,0.0,0.0,
1987,17289,10351,257.6,,15.2,6.6,2.8,0.0,0.0,0.0,0.0,0.0,
1988,17276,10376,272.0,,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,
1989,17120,10306,304.1559,,17.8,7.0,2.272727,0.0,0.0,0.0,0.0,0.0,
1990,17105,10392,336.3117,,19.6,6.0,3.5454550000000005,0.0,0.0,0.0,0.0,0.0,
1991,16990,10338,368.4675,,21.4,5.0,4.818182,0.0,0.0,0.0,0.0,0.0,
1992,17245,10504,400.6234,,23.2,4.0,6.090909,0.0,0.0,0.0,0.0,0.0,
1993,17235,10531,432.7792,,25.0,3.0,7.363636,0.0,0.0,0.0,0.0,0.0,
1994,17282,10635,464.9351,,25.66667,4.0,8.636364,0.0,0.0,0.0,0.0,0.0,
1995,17413,10797,497.0909,,26.33333,5.0,9.909091,0.0,0.0,0.0,0.0,0.0,
1996,17416,10820,529.2468,,27.0,6.0,11.18182,0.0,0.0,0.0,0.0,0.0,
1997,17575,10967,561.4026,,27.66667,7.0,12.45455,0.0,0.0,0.0,0.0,0.0,
1998,17689,11134,593.5585,,28.33333,8.0,13.72727,0.0,0.0,0.0,0.0,0.0,
1999,18185,11516,625.7143,,29.0,9.0,15.0,0.0,5.0,0.0,0.0,0.0,
2000,18110,11499,695.2381,1230.0,30.0,12.83333,12.66667,0.0,7.357142999999999,0.0,0.0,0.0,40.0
2001,18230,11585,764.7619,1230.0,31.0,16.66667,10.33333,0.0,9.714286,0.0,0.0,0.0,48.0
2002,18068,11549,834.2856,900.0,32.0,20.5,8.0,0.0,12.07143,0.0,0.0,0.0,35.0
2003,17855,11451,903.8094,783.0,33.0,24.33333,5.6666669999999995,0.0,14.42857,0.0,0.0,0.0,32.0
2004,17751,11374,973.3333,934.0,34.0,28.16667,3.333333,0.0,16.78572,0.0,0.0,0.0,65.0
2005,17496,11221,1042.857,807.0,35.0,32.0,1.0,0.0,19.14286,0.0,0.0,0.0,40.0
2006,17544,11295,919.9999,876.0,33.5,30.125,2.125,0.0,21.5,0.0,0.0,0.0,72.0
2007,17492,11235,797.1428,1017.0,32.0,28.25,3.25,0.0,23.85714,0.0,0.0,0.0,26.0
2008,17550,11265,674.2856,1078.0,30.5,26.375,4.375,0.0,26.21428,0.0,0.0,0.0,26.0
2009,17344,11138,551.4285,873.0,29.0,24.5,5.5,0.0,28.57143,0.0,0.0,0.0,26.0
2010,17062,10984,428.5714,876.0,27.5,22.625,6.625,0.0,30.92857,0.0,0.0,0.0,26.0
2011,17007,10945,305.7143,947.0,26.0,20.75,7.75,0.0,33.285709999999995,0.0,0.0,0.0,26.0
2012,16850,10777,182.8571,947.0,24.5,18.875,8.875,0.0,35.64286,0.0,0.0,0.0,26.0
2013,16553,10516,60.0,947.0,23.0,17.0,10.0,0.0,38.0,0.0,0.0,0.0,26.0
2014,16487,10418,60.0,,23.0,17.0,10.0,0.0,38.0,0.0,0.0,0.0,
2015,16529,10388,60.0,,23.0,17.0,10.0,0.0,38.0,0.0,0.0,0.0,
2016,16548,10299,,,,,,,,,,,
