year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,24353,15994,0.0,,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,25099,16621,0.0,,24.625,23.125,0.0,0.0,0.0,0.0,0.0,0.0,
1972,26378,17622,0.0,,24.25,21.25,0.0,0.0,0.0,0.0,0.0,0.0,
1973,27732,18690,0.0,,23.875,19.375,0.0,0.0,0.0,0.0,0.0,0.0,
1974,28252,19063,0.0,,23.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,
1975,28059,18937,0.0,,23.125,15.625,0.0,0.0,0.0,0.0,0.0,0.0,
1976,28237,19164,0.0,,22.75,13.75,0.0,0.0,0.0,0.0,0.0,0.0,
1977,29480,20262,0.0,,22.375,11.875,0.0,0.0,0.0,0.0,0.0,0.0,
1978,30529,21175,3128.571,,22.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,
1979,31070,21635,3126.857,,22.4,11.6,8.8,0.0,0.0,0.0,0.0,0.0,
1980,31074,21736,3125.143,,22.8,13.2,9.6,0.0,0.0,0.0,0.0,0.0,
1981,31263,22007,3123.428,,23.2,14.8,10.4,0.0,0.0,0.0,0.0,0.0,
1982,31250,22112,3121.7140000000004,,23.6,16.4,11.2,0.0,0.0,0.0,0.0,0.0,
1983,31381,22290,3120.0,,24.0,18.0,12.0,0.0,1.0,0.0,4.0,0.0,
1984,31505,22478,2624.4,,24.0,15.6,12.8,0.0,1.1,0.0,4.4,0.0,
1985,30995,22185,2128.8,,24.0,13.2,13.6,0.0,1.2,0.0,4.8,0.0,
1986,31194,22437,1633.2,,24.0,10.8,14.4,0.0,1.3,0.0,5.2,0.0,
1987,31021,22402,1137.6,,24.0,8.4,15.2,0.0,1.4,0.0,5.6,0.0,
1988,31384,22731,642.0,,24.0,6.0,16.0,0.0,1.5,0.0,6.0,0.0,
1989,31592,22941,768.5065,,29.2,10.0,14.8,0.0,1.6,0.0,7.2,0.0,
1990,31977,23433,895.013,,34.4,14.0,13.6,0.0,1.7,0.0,8.4,0.0,
1991,32590,23926,1021.5189999999999,,39.6,18.0,12.4,0.0,1.8,0.0,9.6,0.0,
1992,32911,24089,1148.026,,44.8,22.0,11.2,0.0,1.9,0.0,10.8,0.0,
1993,33549,24545,1274.532,,50.0,26.0,10.0,0.0,2.0,0.0,12.0,0.0,
1994,34144,24994,1401.039,,61.666669999999996,22.66667,10.0,0.0,4.35,0.0,15.666670000000002,0.0,
1995,34956,25654,1527.545,,73.33334,19.33333,10.0,0.0,6.7,0.0,19.33333,0.0,
1996,36148,26630,1654.0520000000001,,85.0,16.0,10.0,0.0,9.05,0.0,23.0,0.0,
1997,37161,27438,1780.558,,96.66666,12.66667,10.0,0.0,11.4,0.0,26.66667,0.0,
1998,37875,27997,1907.065,,108.3333,9.333333,10.0,0.0,13.75,0.0,30.33333,0.0,
1999,38375,28358,2033.5710000000001,,120.0,6.0,10.0,0.0,16.1,0.0,34.0,0.0,
2000,38759,28675,2163.928,4210.0,120.0,25.66667,9.833333,0.0,18.45,0.0,42.83333,0.0,94.0
2001,39292,29239,2294.286,4210.0,120.0,45.33333,9.666667,0.0,20.8,0.0,51.66667,0.0,110.0
2002,39914,29752,2424.643,4210.0,120.0,65.0,9.5,0.0,23.15,0.0,60.5,0.0,116.0
2003,41241,30677,2555.0,3290.0,120.0,84.66666,9.333333,0.0,25.5,0.0,69.33334,0.0,115.0
2004,41840,30969,2685.357,3402.0,120.0,104.3333,9.166667,0.0,27.85,0.0,78.16666,0.0,111.0
2005,42526,31467,2815.7140000000004,3500.0,120.0,124.0,9.0,0.0,30.2,0.0,87.0,0.0,143.0
2006,44281,32734,2972.143,2000.0,130.0,123.6667,7.5,0.0,32.55,0.0,82.0,0.0,130.0
2007,45027,33219,2190.0,3626.0,132.0,123.3333,6.0,0.0,34.9,0.0,78.0,0.0,130.0
2008,45781,33714,3076.429,3790.0,141.0,123.0,11.0,0.0,37.25,0.0,69.0,1.0,140.0
2009,46712,34461,3145.952,3600.0,140.0,83.33334,8.666667,0.0,39.6,0.0,96.33334,0.0,134.0
2010,47359,35003,3215.4759999999997,3600.0,164.0,43.66667,6.3333330000000005,0.0,41.95,0.0,123.6667,0.0,165.0
2011,47566,35135,3285.0,3700.0,158.0,4.0,4.0,0.0,44.3,0.0,151.0,0.0,163.0
2012,48348,35637,3127.5,2784.0,173.0,79.0,10.5,0.0,46.65,0.0,128.0,0.0,180.0
2013,50182,37009,2970.0,2970.0,168.0,154.0,17.0,0.0,49.0,0.0,105.0,0.0,168.0
2014,51385,38033,2502.857,,138.0,130.0,1.0,0.0,57.0,0.0,72.0,0.0,
2015,51828,38187,2502.857,,138.0,130.0,1.0,0.0,57.0,0.0,72.0,0.0,
2016,52654,38698,,,,,,,,,,,
