year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,14948,9114,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,14987,9130,0.0,,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1972,15146,9254,0.0,,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973,16201,10019,0.0,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1974,16129,9987,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,16321,10136,0.0,,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1976,16745,10506,0.0,,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1977,17125,10824,0.0,,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1978,17380,11076,1147.143,,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
1979,18097,11635,980.1144,,7.0,3.0,1.9,0.0,0.0,0.0,0.0,0.0,
1980,18566,11928,813.0858,,6.0,3.0,1.8,0.0,0.0,0.0,0.0,0.0,
1981,18995,12193,646.0572,,5.0,3.0,1.7,0.0,0.0,0.0,0.0,0.0,
1982,18891,12112,479.0286,,4.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,
1983,18069,11556,312.0,,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,
1984,17767,11350,475.8,,5.4,5.4,1.4,0.0,0.0,0.0,0.0,0.0,
1985,17534,11186,639.6,,7.8,7.8,1.3,0.0,0.0,0.0,0.0,0.0,
1986,17600,11238,803.4,,10.2,10.2,1.2,0.0,0.0,0.0,0.0,0.0,
1987,17643,11265,967.2,,12.6,12.6,1.1,0.0,0.0,0.0,0.0,0.0,
1988,17666,11277,1131.0,,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,
1989,17697,11276,1113.546,,14.4,13.0,1.2,0.0,0.0,0.0,0.0,0.0,
1990,17728,11366,1096.0919999999999,,13.8,11.0,1.4,0.0,0.0,0.0,0.0,0.0,
1991,17908,11494,1078.639,,13.2,9.0,1.6,0.0,0.0,0.0,0.0,0.0,
1992,18047,11555,1061.185,,12.6,7.0,1.8,0.0,0.0,0.0,0.0,0.0,
1993,18375,11783,1043.731,,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,
1994,18312,11677,1026.277,,15.833329999999998,7.1666669999999995,2.833333,0.0,0.0,0.0,0.0,0.0,
1995,18420,11731,1008.824,,19.66667,9.333333,3.666667,0.0,0.0,0.0,0.0,0.0,
1996,18654,11889,991.3698,,23.5,11.5,4.5,0.0,0.0,0.0,0.0,0.0,
1997,18851,12001,973.916,,27.33333,13.666670000000002,5.3333330000000005,0.0,0.0,0.0,0.0,0.0,
1998,18975,12122,956.4622,,31.16667,15.833329999999998,6.1666669999999995,0.0,0.0,0.0,0.0,0.0,
1999,19086,12210,939.0084,,35.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,
2000,19158,12278,921.5546,1370.0,34.83333,18.5,7.0,0.0,0.0,0.0,0.0,0.0,31.0
2001,19020,12158,904.1008,1370.0,34.66667,19.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0
2002,19144,12233,886.6469999999999,1370.0,34.5,19.5,7.0,0.0,0.0,0.0,0.0,0.0,30.0
2003,19070,12178,869.1933,1058.0,34.33333,20.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0
2004,19145,12201,851.7395,1048.0,34.16667,20.5,7.0,0.0,0.0,0.0,0.0,0.0,30.0
2005,19232,12271,834.2857,973.0,34.0,21.0,7.0,0.0,2.0,0.0,2.0,2.0,21.0
2006,19424,12333,872.0,1592.0,40.5,22.875,12.375,0.0,2.0,0.0,2.0,0.0,4.0
2007,19581,12421,909.7143,1421.0,47.0,24.75,17.75,0.0,2.0,0.0,2.0,0.0,4.0
2008,19524,12406,947.4286,1217.0,53.5,26.625,23.125,0.0,2.0,0.0,2.0,0.0,14.0
2009,19552,12311,985.1428,1306.0,60.0,28.5,28.5,0.0,2.0,0.0,2.0,0.0,24.0
2010,19596,12351,1022.857,1372.0,66.5,30.375,33.875,0.0,2.0,0.0,2.0,0.0,24.0
2011,19619,12366,1060.5710000000001,1285.0,73.0,32.25,39.25,0.0,2.0,0.0,2.0,0.0,29.0
2012,19623,12367,1098.286,1229.0,79.5,34.125,44.625,0.0,2.0,0.0,2.0,0.0,86.0
2013,19606,12297,1136.0,1136.0,86.0,36.0,50.0,0.0,2.0,0.0,2.0,0.0,86.0
2014,19497,12159,1136.0,,86.0,36.0,50.0,0.0,2.0,0.0,2.0,0.0,
2015,19413,12109,1136.0,,86.0,36.0,50.0,0.0,2.0,0.0,2.0,0.0,
2016,19467,12129,,,,,,,,,,,
